Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
0,13260,24800.2,1.38676e+07,0,1.38676e+07
1,13261,24800.2,1.38676e+07,1.66001,1.38676e+07
2,13262,24800.2,1.38676e+07,3.49686,1.38676e+07
3,13263,24800.2,1.38676e+07,5.5305,1.38676e+07
4,13264,24800.2,1.38676e+07,7.78329,1.38676e+07
5,13265,24800.2,1.38676e+07,10.2804,1.38676e+07
6,13266,24800.2,1.38676e+07,13.0502,1.38676e+07
7,13267,24800.2,1.38676e+07,16.1247,1.38676e+07
8,13268,24800.2,1.38676e+07,19.54,1.38676e+07
9,13269,24800.2,1.38676e+07,23.3373,1.38676e+07
10,13270,24800.2,1.38676e+07,27.5629,1.38676e+07
11,13271,24800.2,1.38676e+07,32.2694,1.38676e+07
12,13272,24800.2,1.38676e+07,37.5171,1.38676e+07
13,13273,24800.2,1.38676e+07,43.3743,1.38676e+07
14,13274,24800.2,1.38676e+07,49.9191,1.38676e+07
15,13275,24800.2,1.38676e+07,57.2409,1.38676e+07
16,13276,24800.2,1.38676e+07,65.4419,1.38676e+07
17,13277,24800.2,1.38676e+07,74.6393,1.38676e+07
18,13278,24800.2,1.38676e+07,84.968,1.38676e+07
19,13279,24800.2,1.38676e+07,96.5827,1.38676e+07
20,13280,24800.2,1.38676e+07,109.662,1.38676e+07
21,13281,24800.2,1.38676e+07,124.411,1.38676e+07
22,13282,24800.2,1.38676e+07,141.066,1.38676e+07
23,13283,24800.2,1.38676e+07,159.9,1.38676e+07
24,13284,24800.2,1.38676e+07,181.228,1.38676e+07
25,13285,24800.2,1.38676e+07,205.413,1.38676e+07
26,13286,24800.2,1.38676e+07,232.872,1.38676e+07
27,13287,24800.2,1.38676e+07,264.087,1.38676e+07
28,13288,24800.2,1.38676e+07,299.611,1.38676e+07
29,13289,24800.2,1.38676e+07,340.077,1.38676e+07
30,13290,24800.2,1.38676e+07,386.21,1.38676e+07
31,13291,24800.2,1.38676e+07,438.834,1.38676e+07
32,13292,24800.2,1.38676e+07,498.884,1.38676e+07
33,13293,24800.2,1.38676e+07,567.41,1.38676e+07
34,13294,24800.2,1.38676e+07,645.586,1.38676e+07
35,13295,24800.2,1.38676e+07,734.705,1.38676e+07
36,13296,24800.2,1.38676e+07,836.177,1.38676e+07
37,13297,24800.2,1.38676e+07,951.5,1.38676e+07
38,13298,24800.2,1.38676e+07,1082.23,1.38676e+07
39,13299,24800.2,1.38676e+07,1229.91,1.38676e+07
40,13300,24800.2,1.38676e+07,1395.98,1.38676e+07
41,13301,24800.2,1.38676e+07,1581.59,1.38676e+07
42,13302,24800.2,1.38676e+07,1787.42,1.38676e+07
43,13303,24800.2,1.38676e+07,2013.28,1.38676e+07
44,13304,24800.2,1.38676e+07,2257.69,1.38676e+07
45,13305,24800.2,1.38676e+07,2517.15,1.38676e+07
46,13306,24800.2,1.38676e+07,2785.2,1.38676e+07
47,13307,24800.2,1.38676e+07,3051.09,1.38676e+07
48,13308,24800.2,1.38676e+07,3297.9,1.38676e+07
49,13309,24800.2,1.38676e+07,3579.14,1.38676e+07
50,13310,24800.2,1.38676e+07,3888.51,1.38676e+07
